Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 20:02:34.642,114333.3,0.001,BTCUSDT
2025-09-30 20:02:34.642,114333.3,0.004,BTCUSDT
2025-09-30 20:02:34.642,114333.3,0.001,BTCUSDT
2025-09-30 20:02:34.642,114333.3,0.061,BTCUSDT
2025-09-30 20:02:34.642,114333.3,0.001,BTCUSDT
2025-09-30 20:02:34.642,114333.3,0.001,BTCUSDT
2025-09-30 20:02:34.642,114333.2,0.002,BTCUSDT
2025-09-30 20:02:34.642,114333.0,0.002,BTCUSDT
2025-09-30 20:02:34.642,114332.7,0.037,BTCUSDT
2025-09-30 20:02:34.642,114332.4,0.002,BTCUSDT
2025-09-30 20:02:34.642,114332.3,0.001,BTCUSDT
2025-09-30 20:02:34.642,114332.1,0.001,BTCUSDT
2025-09-30 20:02:34.642,114332.0,0.001,BTCUSDT
2025-09-30 20:02:34.642,114332.0,0.002,BTCUSDT
2025-09-30 20:02:34.642,114331.8,0.001,BTCUSDT
2025-09-30 20:02:34.642,114331.8,0.002,BTCUSDT
2025-09-30 20:02:34.642,114331.4,0.002,BTCUSDT
2025-09-30 20:02:34.642,114331.4,0.008,BTCUSDT
2025-09-30 20:02:34.642,114331.3,0.002,BTCUSDT
2025-09-30 20:02:34.642,114331.3,0.001,BTCUSDT
2025-09-30 20:02:34.642,114331.2,0.002,BTCUSDT
2025-09-30 20:02:34.642,114331.0,0.066,BTCUSDT
2025-09-30 20:02:34.642,114330.9,0.002,BTCUSDT
2025-09-30 20:02:34.642,114330.8,0.005,BTCUSDT
2025-09-30 20:02:34.642,114330.7,0.001,BTCUSDT
2025-09-30 20:02:34.642,114330.6,0.002,BTCUSDT
2025-09-30 20:02:34.642,114330.6,0.002,BTCUSDT
2025-09-30 20:02:34.642,114330.4,0.001,BTCUSDT
2025-09-30 20:02:34.642,114330.3,0.002,BTCUSDT
2025-09-30 20:02:34.642,114330.3,0.002,BTCUSDT
2025-09-30 20:02:34.642,114330.1,0.007,BTCUSDT
2025-09-30 20:02:34.642,114330.0,0.001,BTCUSDT
2025-09-30 20:02:34.642,114330.0,0.001,BTCUSDT
2025-09-30 20:02:34.642,114330.0,0.001,BTCUSDT
2025-09-30 20:02:34.642,114330.0,0.002,BTCUSDT
2025-09-30 20:02:34.642,114330.0,0.018,BTCUSDT
2025-09-30 20:02:34.642,114329.9,0.001,BTCUSDT
2025-09-30 20:02:34.642,114329.7,0.017,BTCUSDT
2025-09-30 20:02:34.642,114329.7,0.002,BTCUSDT
2025-09-30 20:02:34.642,114329.6,0.132,BTCUSDT
2025-09-30 20:02:34.643,114329.6,0.011,BTCUSDT
2025-09-30 20:02:34.655,114329.6,0.001,BTCUSDT
2025-09-30 20:02:34.671,114329.7,0.24,BTCUSDT
2025-09-30 20:02:34.801,114329.7,0.008,BTCUSDT
2025-09-30 20:02:34.937,114329.7,0.001,BTCUSDT
2025-09-30 20:02:35.150,114329.7,0.003,BTCUSDT
2025-09-30 20:02:35.192,114329.6,0.001,BTCUSDT
2025-09-30 20:02:35.192,114329.6,0.001,BTCUSDT
2025-09-30 20:02:35.192,114329.6,0.001,BTCUSDT
2025-09-30 20:02:35.192,114329.6,0.001,BTCUSDT
2025-09-30 20:02:35.192,114329.6,0.001,BTCUSDT
2025-09-30 20:02:35.192,114329.6,0.024,BTCUSDT
2025-09-30 20:02:35.192,114329.6,0.023,BTCUSDT
2025-09-30 20:02:35.206,114329.7,0.008,BTCUSDT
2025-09-30 20:02:35.403,114329.7,0.009,BTCUSDT
2025-09-30 20:02:35.536,114329.7,0.003,BTCUSDT
2025-09-30 20:02:35.604,114329.7,0.008,BTCUSDT
2025-09-30 20:02:35.778,114329.7,0.1,BTCUSDT
2025-09-30 20:02:35.780,114329.6,0.003,BTCUSDT
